time,ax,ay,az,aT
0.0040,-0.1783,-0.0231,-0.9151,0.933
0.0080,-0.0440,-0.0573,-1.4351,1.437
0.0090,0.0800,-0.0915,-1.6567,1.661
0.0130,0.1744,-0.1106,-1.6188,1.632
0.0190,0.2362,-0.0599,-1.4533,1.474
0.0220,0.2935,0.0788,-1.1194,1.160
0.0280,0.3055,0.1463,-0.7201,0.796
0.0330,0.2962,0.2129,-0.2741,0.456
0.0370,0.2959,0.2457,0.1614,0.417
0.0430,0.2872,0.2695,0.4910,0.629
0.0460,0.2499,0.3109,0.7680,0.865
0.0520,0.2031,0.3094,0.9064,0.979
0.0580,0.1172,0.2977,0.8611,0.919
0.0620,0.0453,0.2209,0.7377,0.771
0.0810,-0.0602,0.1411,0.5862,0.606
0.0810,-0.1442,0.1163,0.4378,0.475
0.0820,-0.1222,0.1083,0.3736,0.408
0.0820,-0.1054,0.1388,0.2309,0.289
0.0860,-0.0400,0.1482,0.0957,0.181
0.0900,0.0191,0.1132,-0.0704,0.135
0.0960,0.0624,0.0653,-0.1766,0.198
0.1010,0.1166,0.0911,-0.2923,0.328
0.1060,0.1183,0.0693,-0.4080,0.430
0.1100,0.0951,0.0791,-0.4735,0.489
0.1160,0.0720,0.0925,-0.4913,0.505
0.1200,0.0619,0.0762,-0.4614,0.472
0.1260,0.0657,0.0783,-0.4151,0.428
0.1300,0.0666,0.0366,-0.3738,0.381
0.1370,0.0435,0.0153,-0.3254,0.329
0.1400,0.0150,0.0144,-0.2486,0.249
0.1440,-0.0363,-0.0121,-0.1600,0.165
0.1490,-0.0820,-0.0238,-0.0668,0.108
0.1550,-0.1182,-0.0188,-0.0095,0.120
0.1590,-0.1454,-0.0286,0.0572,0.159
0.1650,-0.1618,-0.0010,0.1096,0.195
0.1700,-0.1462,-0.0103,0.1262,0.193
0.1740,-0.1084,-0.0208,0.0879,0.141
0.1830,-0.0554,-0.0585,0.0354,0.088
0.1850,-0.0540,-0.0849,-0.0122,0.101
0.1900,-0.0224,-0.0877,-0.0429,0.100
0.1940,-0.0082,-0.0885,-0.0426,0.099
0.1980,-0.0130,-0.0864,-0.0423,0.097
0.2040,-0.0290,-0.0961,-0.0349,0.106
0.2090,-0.0440,-0.0908,-0.0107,0.102
0.2130,-0.0459,-0.0875,-0.0034,0.099
0.2190,-0.0586,-0.0910,0.0087,0.109
0.2230,-0.0991,-0.0799,0.0137,0.128
0.2290,-0.1172,-0.0517,-0.0196,0.130
0.2330,-0.1204,-0.0495,0.0307,0.134
0.2370,-0.1259,-0.0328,0.0308,0.134
0.2420,-0.1318,-0.0186,0.0308,0.137
0.2470,-0.1408,-0.0067,0.0260,0.143
0.2530,-0.1435,-0.0236,0.0164,0.146
0.2570,-0.1110,-0.0263,0.0570,0.128
0.2620,-0.1100,-0.0315,0.0737,0.136
0.2770,-0.1234,-0.0318,0.0831,0.152
0.2770,-0.0961,-0.0154,0.1235,0.157
0.2780,-0.1118,-0.0085,0.1616,0.197
0.2830,-0.0914,0.0005,0.1470,0.173
0.2870,-0.1018,-0.0170,0.1636,0.193
0.2930,-0.0711,-0.0584,0.1540,0.179
0.2970,-0.0831,-0.0760,0.1491,0.187
0.3030,-0.1067,-0.0724,0.1300,0.183
0.3060,-0.1278,-0.0354,0.1349,0.189
0.3120,-0.1216,-0.0506,0.1174,0.176
0.3160,-0.1132,-0.0350,0.1072,0.160
0.3220,-0.1004,-0.0408,0.0947,0.144
0.3260,-0.1091,-0.0275,0.0965,0.148
0.3310,-0.0966,-0.0142,0.1030,0.142
0.3360,-0.0989,-0.0294,0.1355,0.170
0.3400,-0.1060,-0.0304,0.1630,0.197
0.3450,-0.0989,-0.0527,0.1903,0.221
0.3510,-0.0895,-0.0870,0.1937,0.230
0.3560,-0.0967,-0.0620,0.2374,0.264
0.3600,-0.1160,-0.0470,0.2263,0.259
0.3660,-0.1065,-0.0681,0.2010,0.237
0.3700,-0.0614,-0.0847,0.1951,0.221
0.3770,-0.0755,-0.0993,0.1751,0.215
0.3800,-0.0318,-0.1096,0.1174,0.164
0.3880,-0.0139,-0.0894,0.0319,0.096
0.3920,-0.0194,-0.0649,-0.0410,0.079
0.3940,0.0085,-0.0262,-0.1726,0.175
0.3990,0.0198,-0.0209,-0.2557,0.257
0.4050,0.0500,-0.0270,-0.2978,0.303
0.4090,0.0515,0.0147,-0.3325,0.337
0.4140,0.0811,0.0164,-0.3647,0.374
0.4190,0.0956,0.0280,-0.3706,0.384
0.4240,0.1095,0.0568,-0.3506,0.372
0.4290,0.0969,0.0219,-0.3023,0.318
0.4330,0.1170,0.0257,-0.2119,0.243
0.4440,0.1057,0.0300,-0.1603,0.194
0.4440,0.0371,0.0178,-0.0902,0.099
0.4490,0.0260,0.0152,-0.0326,0.044
0.4530,0.0079,0.0152,0.0269,0.032
0.4580,-0.0123,-0.0134,0.0693,0.072
0.4630,-0.0415,-0.0208,0.0711,0.085
0.4780,-0.0584,-0.0498,0.0849,0.114
0.4790,-0.0321,-0.0480,0.0772,0.096
0.4790,-0.0720,-0.0844,0.0388,0.118
0.4830,-0.0850,-0.0877,0.0270,0.125
0.4880,-0.0811,-0.1079,-0.0559,0.146
0.4920,-0.0394,-0.0473,-0.1025,0.120
0.4970,-0.0289,-0.0513,-0.1487,0.160
0.5030,-0.0067,-0.0266,-0.1969,0.199
0.5080,0.0128,0.0197,-0.2424,0.244
0.5120,0.0555,0.0280,-0.2141,0.223
0.5180,0.0999,0.0272,-0.2478,0.269
0.5230,0.1128,0.0435,-0.2244,0.255
0.5270,0.1562,0.0197,-0.2179,0.269
0.5310,0.1183,0.0558,-0.1308,0.185
0.5370,0.1115,0.0683,-0.0826,0.155
