time,ax,ay,az,aT
0.0070,0.7544,0.2053,0.7783,1.103
0.0080,0.6891,-0.1217,0.3378,0.777
0.0200,0.7035,-0.3497,-0.0354,0.786
0.0330,0.6931,-0.2879,-0.0194,0.751
0.0670,0.7700,-0.1444,0.1009,0.790
0.0690,0.8005,-0.1090,-0.1609,0.824
0.0700,0.7286,-0.0135,-0.5675,0.924
0.0710,0.5438,0.0967,-0.8363,1.002
0.0930,0.6046,0.2443,-1.1047,1.283
0.0950,0.5627,0.2315,-1.2297,1.372
0.1000,0.7433,0.1538,-1.1344,1.365
0.1090,0.7468,0.1431,-0.8936,1.173
0.1150,0.7097,0.1576,-0.6766,0.993
0.1260,0.6924,0.1386,-0.4822,0.855
0.1530,0.6984,0.1036,-0.4044,0.814
0.1550,0.6919,0.0695,-0.4223,0.814
0.1570,0.6696,-0.0217,-0.4783,0.823
0.1770,0.5775,-0.0215,-0.8175,1.001
0.1780,0.5291,-0.1061,-1.0737,1.202
0.1850,0.4248,-0.0636,-0.9989,1.087
0.1950,0.3728,0.0860,-0.7850,0.873
0.2060,0.2379,0.1564,-0.6848,0.742
0.2140,0.1345,0.1923,-0.6839,0.723
0.2250,0.1235,0.2707,-0.5523,0.627
0.2470,-0.0568,0.2941,-0.4988,0.582
0.2480,-0.0417,0.2431,-0.4081,0.477
0.2580,-0.0815,0.1934,-0.3373,0.397
0.2640,-0.0401,0.2800,-0.3441,0.445
0.2770,0.0994,0.2540,-0.4289,0.508
0.2970,0.0892,0.1692,-0.6082,0.638
0.3000,0.0449,0.3077,-0.7631,0.824
0.3160,0.0044,0.5158,-0.7403,0.902
0.3170,-0.0747,0.5686,-0.6585,0.873
0.3290,-0.0621,0.5649,-0.5203,0.771
0.3460,-0.0320,0.3905,-0.5176,0.649
0.3470,0.0163,0.2741,-0.5345,0.601
0.3530,-0.0851,0.2876,-0.5863,0.659
0.3640,-0.2596,0.3540,-0.3854,0.584
0.3760,-0.4885,0.3408,-0.2393,0.642
0.3860,-0.5628,0.4041,-0.1312,0.705
0.3930,-0.5401,0.3174,0.1089,0.636
0.4030,-0.5557,0.3264,0.1193,0.655
0.4120,-0.6451,0.4288,0.1511,0.789
0.4230,-0.7141,0.4731,0.2218,0.885
0.4440,-0.5771,0.5186,0.4445,0.894
0.4470,-0.5032,0.4348,0.6629,0.939
0.4570,-0.2677,0.0118,0.7990,0.843
0.4760,-0.2139,-0.4451,0.9304,1.053
0.4770,-0.3571,-0.7085,0.9448,1.234
0.4850,-0.5629,-0.7994,0.9774,1.383
0.4910,-0.5258,-0.7780,0.8388,1.259
0.5020,-0.4370,-0.7981,0.6061,1.093
0.5120,-0.3913,-0.7457,0.4141,0.938
0.5220,-0.3667,-0.6203,0.2630,0.767
0.5410,-0.3792,-0.4251,0.1938,0.602
0.5420,-0.3867,-0.3868,0.1472,0.566
0.5710,-0.3875,-0.5556,0.0990,0.685
0.5730,-0.3415,-0.8904,-0.1445,0.965
0.5750,-0.3239,-1.1793,-0.4691,1.310
0.5840,-0.4103,-1.5171,-0.6839,1.714
0.5910,-0.4694,-1.6960,-0.8444,1.952
0.6010,-0.5092,-1.7378,-1.0646,2.101
0.6140,-0.4968,-1.7011,-1.0761,2.073
0.6210,-0.4320,-1.5299,-0.8203,1.789
0.6310,-0.3980,-1.3411,-0.4307,1.464
0.6410,-0.3557,-1.1385,-0.2108,1.211
0.6620,-0.5442,-0.9604,-0.2553,1.133
0.6640,-0.8206,-0.8417,-0.2973,1.213
0.6700,-0.9154,-0.7782,-0.3973,1.265
0.6810,-0.9074,-1.0321,-0.6940,1.540
0.6900,-0.9154,-1.2757,-0.8636,1.792
0.7000,-0.7930,-1.4145,-0.8485,1.830
0.7150,-0.6183,-1.4152,-0.6259,1.666
0.7200,-0.4796,-1.3190,-0.2909,1.433
0.7290,-0.2821,-1.1715,0.0082,1.205
0.7400,-0.1898,-0.9964,0.3524,1.074
0.7550,-0.2112,-0.8708,0.4939,1.023
0.7950,-0.2800,-0.6776,0.4131,0.842
0.7960,-0.4845,-0.3934,0.1841,0.651
0.7970,-0.5404,-0.2808,-0.1973,0.640
0.7990,-0.6420,-0.3165,-0.4659,0.854
0.8000,-0.5293,-0.5972,-0.5836,0.989
0.8100,-0.3426,-0.8544,-0.6471,1.125
0.8190,-0.3333,-1.0336,-0.6353,1.258
0.8290,-0.3693,-1.0042,-0.4697,1.169
0.8390,-0.4315,-0.8835,-0.1485,0.994
0.8630,-0.3081,-0.8252,-0.0927,0.886
0.8650,-0.2247,-0.7325,-0.1494,0.781
0.8680,-0.2328,-0.6992,-0.3958,0.836
0.8940,-0.0610,-0.8751,-0.8149,1.197
0.8950,-0.4186,-0.6300,-1.1180,1.350
0.8980,-0.2226,-0.5346,-1.1173,1.258
