time,wx,wy,wz
0.001,-0.00,0.06,-0.01
0.002,0.02,0.06,-0.03
0.003,0.03,0.06,-0.04
0.010,0.05,0.06,-0.06
0.011,0.05,0.05,-0.07
0.014,0.05,0.06,-0.08
0.019,0.05,0.07,-0.08
0.023,0.06,0.07,-0.08
0.031,0.04,0.07,-0.08
0.031,0.03,0.06,-0.07
0.034,0.04,0.06,-0.07
0.038,0.03,0.05,-0.06
0.043,0.01,0.05,-0.06
0.046,0.00,0.05,-0.05
0.050,-0.00,0.05,-0.04
0.055,-0.01,0.04,-0.03
0.059,0.00,0.04,-0.03
0.062,-0.03,0.04,-0.02
0.066,-0.01,0.03,-0.02
0.070,-0.02,0.03,-0.02
0.076,-0.01,0.04,-0.02
0.078,-0.01,0.03,-0.03
0.082,-0.01,0.03,-0.03
0.086,0.00,0.02,-0.04
0.091,0.01,0.01,-0.04
0.094,0.02,-0.00,-0.05
0.098,0.02,-0.01,-0.06
0.102,0.02,-0.02,-0.07
0.106,0.02,-0.01,-0.08
0.109,0.01,-0.01,-0.08
0.114,0.01,-0.01,-0.09
0.118,0.01,-0.01,-0.10
0.121,0.00,-0.01,-0.10
0.126,0.00,-0.02,-0.10
0.129,0.01,-0.02,-0.11
0.134,0.01,-0.03,-0.11
0.137,0.02,-0.03,-0.11
0.142,0.02,-0.03,-0.11
0.146,0.03,-0.04,-0.11
0.149,0.02,-0.05,-0.11
0.153,0.02,-0.04,-0.11
0.158,0.02,-0.02,-0.10
0.161,0.02,-0.01,-0.10
0.165,0.01,-0.01,-0.09
0.169,0.01,-0.01,-0.09
0.173,0.00,-0.01,-0.08
0.177,-0.00,-0.01,-0.07
0.181,-0.00,-0.01,-0.07
0.185,0.00,-0.01,-0.06
0.188,0.01,-0.01,-0.06
0.192,0.01,-0.01,-0.06
0.197,0.01,-0.00,-0.06
0.200,0.01,0.00,-0.07
0.205,0.01,0.00,-0.07
0.210,0.01,-0.01,-0.07
0.212,0.00,-0.01,-0.07
0.216,0.01,-0.02,-0.07
0.221,0.01,-0.01,-0.08
0.227,0.01,-0.01,-0.08
0.228,0.01,-0.01,-0.08
0.232,0.01,-0.01,-0.08
0.236,0.02,-0.01,-0.08
0.240,0.02,-0.01,-0.08
0.246,0.01,-0.01,-0.07
0.248,0.02,-0.01,-0.07
0.252,0.01,-0.01,-0.06
0.256,0.01,-0.00,-0.06
0.260,0.01,-0.00,-0.05
0.264,0.01,0.00,-0.05
0.268,0.00,0.00,-0.04
0.272,0.01,0.01,-0.04
0.276,0.00,0.00,-0.03
0.280,0.00,0.00,-0.03
0.283,0.00,-0.00,-0.02
0.287,0.00,-0.00,-0.02
0.292,-0.00,-0.00,-0.02
0.295,-0.00,0.00,-0.02
0.299,0.00,0.00,-0.02
0.303,0.00,0.01,-0.02
0.308,0.00,0.01,-0.02
0.311,0.01,0.01,-0.02
0.315,0.01,0.01,-0.02
0.319,0.01,0.01,-0.03
0.323,0.01,0.01,-0.03
0.327,0.01,0.02,-0.03
0.331,0.01,0.02,-0.02
0.335,0.01,0.02,-0.02
0.339,0.01,0.01,-0.02
0.343,0.01,0.02,-0.02
0.347,0.00,0.02,-0.02
0.350,0.00,0.02,-0.02
0.354,-0.00,0.02,-0.02
0.358,-0.01,0.03,-0.02
0.363,-0.00,0.03,-0.01
0.366,0.00,0.03,-0.00
0.370,0.00,0.03,0.01
0.376,0.01,0.03,0.02
0.378,0.01,0.04,0.03
0.382,0.02,0.03,0.03
0.386,0.02,0.04,0.04
0.390,0.02,0.04,0.05
0.394,0.02,0.03,0.05
0.398,0.01,0.01,0.06
0.402,-0.00,-0.01,0.06
0.406,-0.01,-0.02,0.06
0.410,-0.02,-0.01,0.06
0.414,-0.03,0.01,0.05
