time,gFx,gFy,gFz,TgF
0.003000,0.1251,0.9909,0.1257,1.007
0.003000,0.1244,0.9914,0.1149,1.006
0.006000,0.1205,0.9914,0.1015,1.004
0.012000,0.1180,0.9914,0.0903,1.002
0.016000,0.1210,0.9914,0.0881,1.003
0.021000,0.1234,0.9892,0.0937,1.001
0.028000,0.1224,0.9909,0.1015,1.004
0.031000,0.1246,0.9916,0.1071,1.005
0.036000,0.1263,0.9921,0.1113,1.006
0.042000,0.1266,0.9936,0.1079,1.007
0.046000,0.1324,0.9941,0.1061,1.008
0.051000,0.1317,0.9907,0.1017,1.005
0.055000,0.1351,0.9924,0.0983,1.006
0.061000,0.1305,0.9924,0.0900,1.005
0.065000,0.1273,0.9904,0.0842,1.002
0.070000,0.1266,0.9938,0.0912,1.006
0.075000,0.1271,0.9909,0.0998,1.004
0.080000,0.1300,0.9929,0.1054,1.007
0.085000,0.1305,0.9916,0.1042,1.006
0.090000,0.1280,0.9924,0.1010,1.006
0.095000,0.1276,0.9916,0.0988,1.005
0.100000,0.1229,0.9924,0.0993,1.005
0.104000,0.1256,0.9892,0.1005,1.002
0.110000,0.1197,0.9924,0.1020,1.005
0.114000,0.1207,0.9914,0.1025,1.004
0.119000,0.1234,0.9904,0.1059,1.004
0.124000,0.1193,0.9916,0.1059,1.004
0.129000,0.1195,0.9924,0.1066,1.005
0.134000,0.1205,0.9916,0.1047,1.004
0.139000,0.1246,0.9899,0.1030,1.003
0.144000,0.1232,0.9914,0.1017,1.004
0.149000,0.1222,0.9924,0.1015,1.005
0.154000,0.1210,0.9929,0.1027,1.005
0.159000,0.1227,0.9931,0.1032,1.006
0.164000,0.1219,0.9909,0.1027,1.004
0.168000,0.1234,0.9919,0.1047,1.005
0.173000,0.1236,0.9914,0.1032,1.004
0.178000,0.1234,0.9924,0.1069,1.006
0.183000,0.1219,0.9916,0.1098,1.005
0.188000,0.1232,0.9931,0.1061,1.006
0.193000,0.1227,0.9919,0.1061,1.005
0.198000,0.1224,0.9929,0.1052,1.006
0.203000,0.1217,0.9916,0.1020,1.004
0.207000,0.1271,0.9919,0.1017,1.005
0.213000,0.1263,0.9921,0.1022,1.005
0.217000,0.1280,0.9916,0.1010,1.005
0.222000,0.1290,0.9924,0.1022,1.006
0.228000,0.1290,0.9921,0.1008,1.006
0.233000,0.1295,0.9899,0.1000,1.003
0.238000,0.1273,0.9902,0.1010,1.003
0.252000,0.1232,0.9921,0.1025,1.005
0.253000,0.1244,0.9929,0.0991,1.006
0.253000,0.1258,0.9911,0.0986,1.004
0.258000,0.1258,0.9914,0.0971,1.004
0.264000,0.1266,0.9919,0.0978,1.005
0.267000,0.1271,0.9933,0.0974,1.006
0.273000,0.1271,0.9936,0.1005,1.007
0.278000,0.1249,0.9926,0.1000,1.005
0.282000,0.1278,0.9911,0.1032,1.005
0.287000,0.1258,0.9921,0.1010,1.005
0.292000,0.1266,0.9914,0.1025,1.005
0.297000,0.1241,0.9926,0.1010,1.005
0.302000,0.1236,0.9916,0.1008,1.004
0.307000,0.1227,0.9926,0.0983,1.005
0.312000,0.1261,0.9899,0.1017,1.003
0.317000,0.1229,0.9919,0.1035,1.005
0.321000,0.1183,0.9916,0.1037,1.004
0.328000,0.1168,0.9929,0.1037,1.005
0.332000,0.1197,0.9907,0.1047,1.003
0.336000,0.1200,0.9911,0.1076,1.004
0.342000,0.1212,0.9919,0.1037,1.005
0.348000,0.1222,0.9931,0.1015,1.006
0.351000,0.1332,0.9892,0.1013,1.003
0.356000,0.1273,0.9938,0.1044,1.007
0.369000,0.1254,0.9916,0.1010,1.005
0.370000,0.1229,0.9941,0.1042,1.007
0.370000,0.1227,0.9909,0.1025,1.004
0.375000,0.1210,0.9941,0.1032,1.007
0.388000,0.1222,0.9914,0.1022,1.004
