time,ax,ay,az,aT
0.0030,0.5625,-0.2418,-1.6577,1.767
0.0050,0.7526,0.0986,-0.9489,1.215
0.0160,1.0373,0.5109,0.1547,1.167
0.0380,1.2340,0.6125,0.8079,1.597
0.0390,1.0949,0.4495,0.6142,1.333
0.0490,0.7858,0.2878,0.0312,0.837
0.0540,0.5065,0.4101,-0.4023,0.766
0.0800,0.4246,0.5437,-0.7376,1.010
0.0820,0.4796,0.5210,-1.0509,1.267
0.0860,0.5378,0.3271,-1.5749,1.696
0.0950,0.6119,0.2395,-1.8768,1.989
0.1040,0.4693,0.4147,-1.7488,1.858
0.1140,0.4314,0.5231,-1.4184,1.572
0.1610,0.4204,0.5802,-1.1512,1.356
0.1610,0.3083,0.5071,-1.1174,1.265
0.1620,0.1787,0.5312,-1.1035,1.238
0.1630,0.1075,0.6583,-1.0756,1.266
0.1640,0.1225,0.6570,-0.9028,1.123
0.1940,0.1552,0.5875,-0.8127,1.015
0.1950,0.0949,0.6928,-0.7625,1.035
0.1950,0.0577,0.6873,-0.7148,0.993
0.2030,0.0072,0.5897,-0.7265,0.936
0.2180,0.0938,0.4364,-0.7964,0.913
0.2260,0.1998,0.4147,-0.7688,0.896
0.2340,0.3774,0.4264,-0.7766,0.963
0.2590,0.5088,0.5316,-0.5920,0.944
0.2610,0.5390,0.6173,-0.3503,0.891
0.2650,0.6199,0.5698,-0.1100,0.849
0.2780,0.6215,0.6938,0.0542,0.933
0.2820,0.6253,0.6659,0.3325,0.972
0.2940,0.6320,0.5661,0.6272,1.055
0.3020,0.5483,0.2827,0.7445,0.967
0.3120,0.5278,0.1790,0.9533,1.104
0.3400,0.5506,0.1157,1.0848,1.222
0.3410,0.4633,-0.1432,1.0664,1.171
0.3420,0.1332,-0.1966,0.8990,0.930
0.3530,-0.2413,-0.1103,0.6847,0.734
0.3820,-0.5309,0.0053,0.5159,0.740
0.3830,-0.5932,0.0633,0.7109,0.928
0.3840,-0.5376,-0.0106,0.9409,1.084
0.3910,-0.4240,-0.1226,1.2452,1.321
0.4010,-0.2687,-0.4633,1.5470,1.637
0.4160,-0.0307,-0.7243,1.7495,1.894
0.4540,0.1783,-0.9604,1.8515,2.093
0.4560,0.2330,-1.1920,1.6633,2.060
0.4580,0.2333,-1.3664,1.2269,1.851
0.4590,-0.0058,-1.4084,0.7926,1.616
0.4610,-0.1571,-1.3994,0.2872,1.437
0.4730,-0.4314,-1.3420,-0.0965,1.413
0.4810,-0.6765,-1.1603,-0.3195,1.381
0.4910,-0.8759,-0.9087,-0.3842,1.319
0.5010,-1.0676,-0.8868,-0.5057,1.477
0.5240,-1.0976,-1.1055,-0.6127,1.674
0.5260,-0.9648,-1.3100,-0.7089,1.775
0.5300,-0.9044,-1.4689,-0.8858,1.939
0.5710,-0.8597,-1.4459,-1.1067,2.014
0.5730,-0.8952,-1.2897,-1.2505,2.007
0.5750,-0.7082,-0.9868,-1.1417,1.667
0.5760,-0.4934,-0.9033,-0.9518,1.402
0.5790,-0.3851,-0.8483,-0.9486,1.330
0.5900,-0.2455,-0.8559,-0.8471,1.229
0.5990,-0.1855,-0.8261,-0.7647,1.141
0.6090,-0.2233,-0.9082,-0.7610,1.206
0.6300,-0.2255,-1.1210,-0.7599,1.373
0.6310,-0.1555,-1.2957,-0.8551,1.560
0.6730,-0.1377,-1.3696,-1.0676,1.742
0.6750,-0.2007,-1.2738,-1.1642,1.737
0.6770,-0.2452,-1.2191,-1.2780,1.783
0.6790,-0.3277,-0.9774,-1.3123,1.669
0.6810,-0.3908,-0.8161,-1.3441,1.620
0.6900,-0.5492,-0.6364,-1.4327,1.661
0.7010,-0.6505,-0.3969,-1.4079,1.601
0.7080,-0.5811,-0.2696,-1.0596,1.238
0.7180,-0.4615,-0.1743,-0.6013,0.778
0.7280,-0.4478,-0.1485,-0.1681,0.501
0.7470,-0.3077,-0.1746,0.1266,0.376
0.7480,-0.3593,-0.3127,0.1898,0.513
0.7580,-0.4639,-0.3188,0.0441,0.565
0.8150,-0.5222,-0.3508,-0.3068,0.700
0.8160,-0.5895,-0.3325,-0.6137,0.914
0.8180,-0.6124,-0.3379,-0.8787,1.123
0.8190,-0.5797,-0.1728,-1.0661,1.226
0.8200,-0.5307,0.0293,-1.1571,1.273
0.8220,-0.6972,0.2315,-1.1528,1.367
0.8270,-0.7346,0.0528,-1.0930,1.318
0.8370,-0.6997,-0.0680,-1.0720,1.282
0.8610,-0.6256,-0.2483,-0.9747,1.185
0.8670,-0.5603,-0.2346,-0.9913,1.163
0.8680,-0.5152,-0.2067,-0.9296,1.083
0.9090,-0.4926,-0.1634,-0.8656,1.009
0.9130,-0.3560,0.0296,-0.8565,0.928
0.9140,-0.3530,0.2211,-0.6356,0.760
0.9160,-0.1578,0.2210,-0.4143,0.495
0.9180,-0.0193,0.2048,-0.1948,0.283
0.9260,-0.0693,0.2501,0.0415,0.263
0.9570,-0.0776,0.3383,0.4281,0.551
0.9580,0.0310,0.3729,0.7740,0.860
0.9590,0.1420,0.1636,0.9826,1.006
0.9690,0.2563,-0.0591,1.0535,1.086
0.9850,0.3352,-0.2957,1.0827,1.171
0.9860,0.3017,-0.2466,1.0556,1.125
0.9970,0.2697,-0.1237,1.1647,1.202
1.0050,0.2579,-0.0062,1.2582,1.284
1.0150,0.1157,-0.0291,0.9923,0.999
1.0250,-0.0764,-0.1710,0.6336,0.661
1.0440,-0.2590,-0.1630,0.4691,0.560
1.0450,-0.3220,-0.0786,0.3050,0.450
1.0800,-0.1971,0.1648,0.4815,0.546
1.0810,-0.0234,0.3008,0.7484,0.807
1.0820,0.2207,0.0800,1.0102,1.037
1.0840,0.3944,-0.1903,1.2854,1.358
1.0960,0.4101,-0.5718,1.5004,1.657
1.1070,0.4444,-0.7236,1.6391,1.846
1.1140,0.4770,-0.9098,1.5837,1.888
1.1240,0.4647,-0.9904,1.5028,1.859
1.1450,0.6094,-1.0844,1.3479,1.834
1.1460,0.7569,-1.2694,1.2351,1.926
1.1540,0.8203,-1.5411,1.1357,2.083
1.1830,0.8489,-1.7288,0.8910,2.122
1.1840,0.8827,-1.9025,0.5543,2.169
1.1850,0.8851,-1.8922,0.1457,2.094
1.1970,0.7086,-1.8450,-0.3386,2.005
1.2030,0.6565,-1.6800,-0.8438,1.991
1.2130,0.6127,-1.4373,-1.2539,2.003
1.2230,0.6307,-1.2540,-1.4331,2.006
1.2410,0.8019,-1.0163,-1.5720,2.036
1.2430,0.8749,-0.8749,-1.6914,2.096
1.2530,1.0763,-0.7707,-1.5624,2.048
1.2830,1.2168,-0.6854,-1.3569,1.947
1.2840,1.3154,-0.7545,-1.2654,1.975
1.2850,1.2785,-0.8075,-1.1529,1.902
1.2930,1.1287,-0.9025,-0.9999,1.757
1.3020,0.9060,-0.9824,-0.9210,1.623
1.3120,0.5553,-0.9510,-0.9549,1.458
1.3220,0.3245,-0.9023,-1.1411,1.490
1.3710,0.2492,-0.6822,-1.0968,1.315
1.3720,0.1759,-0.4796,-0.8812,1.019
1.3730,0.2552,-0.4067,-0.4958,0.690
1.3810,0.2957,-0.2736,-0.1888,0.445
1.3820,0.3169,-0.2489,0.0950,0.414
1.3830,0.2627,-0.3346,0.1653,0.456
1.4110,0.2885,-0.4374,0.1002,0.533
1.4120,0.2235,-0.5411,-0.0218,0.586
1.4130,0.1996,-0.5360,-0.1018,0.581
1.4240,0.2906,-0.4077,-0.2709,0.569
1.4320,0.2676,-0.1402,-0.4696,0.558
1.4660,0.2434,0.1577,-0.6825,0.742
1.4660,0.1290,0.4471,-0.7751,0.904
1.4670,0.1333,0.5445,-0.8097,0.985
1.4740,0.1217,0.4550,-1.0194,1.123
1.4940,0.1344,0.2778,-1.0807,1.124
1.4950,0.1146,0.0496,-1.1460,1.153
1.5000,0.1917,-0.0999,-1.1357,1.156
1.5100,0.1531,-0.2699,-1.0670,1.111
1.5330,0.0734,-0.3083,-0.9580,1.009
1.5340,0.0276,-0.2541,-0.8853,0.921
1.5690,0.1340,-0.1251,-0.9260,0.944
1.5700,0.2967,-0.1500,-0.9854,1.040
1.5720,0.4416,-0.0977,-1.1214,1.209
1.5730,0.5907,-0.1209,-1.2195,1.360
1.5790,0.5906,0.0083,-1.2591,1.391
1.5900,0.6325,0.0974,-1.3546,1.498
1.5990,0.5591,0.1476,-1.4110,1.525
1.6090,0.4045,0.3503,-1.2561,1.365
1.6310,0.2621,0.4947,-0.9667,1.117
1.6320,0.1344,0.6581,-0.6197,0.914
1.6690,0.0398,0.7655,-0.2930,0.821
1.6700,0.0601,0.7816,-0.0651,0.787
1.6700,0.2743,0.5941,-0.0718,0.658
1.6710,0.2469,0.4513,-0.1782,0.544
1.6780,0.2072,0.2563,-0.3452,0.477
1.6880,0.1346,0.3876,-0.5120,0.656
1.6980,0.0027,0.4624,-0.6411,0.790
1.7080,-0.1959,0.6137,-0.6368,0.906
1.7180,-0.2926,0.6306,-0.2695,0.746
1.7330,-0.3020,0.6515,0.7646,1.049
1.7370,-0.1190,0.5452,1.7918,1.877
1.7490,-0.1622,0.1859,2.6534,2.665
1.7740,-0.2876,-0.2318,3.1571,3.179
1.7760,-0.3114,-0.8056,3.0565,3.176
1.7770,-0.1496,-1.6202,2.5499,3.025
1.7880,-0.0613,-2.4619,1.5727,2.922
1.7970,-0.2363,-2.7305,0.2672,2.754
1.8080,-0.6131,-2.5779,-1.1201,2.877
1.8180,-0.9492,-1.8766,-2.1045,2.975
1.8270,-1.2460,-1.1535,-2.5600,3.072
1.8530,-1.4414,-0.3978,-2.6104,3.008
1.8550,-1.4462,0.0564,-2.4363,2.834
1.8960,-1.2407,0.0641,-1.9862,2.343
1.8990,-0.9933,-0.2945,-1.4346,1.770
1.9010,-0.8147,-0.6412,-1.0074,1.446
1.9010,-0.6202,-0.9627,-0.4314,1.224
1.9020,-0.3859,-1.2637,-0.1242,1.327
1.9060,-0.1696,-1.3161,-0.0079,1.327
1.9290,-0.1752,-1.1808,-0.2519,1.220
1.9300,-0.3581,-0.8590,-0.6633,1.143
1.9660,-0.6420,-0.6170,-1.0517,1.378
1.9670,-0.6894,-0.3771,-1.0165,1.285
1.9680,-0.6434,-0.4048,-0.8094,1.110
1.9690,-0.6064,-0.5631,-0.4906,0.962
1.9750,-0.6367,-0.8519,-0.1946,1.081
1.9860,-0.6926,-1.0216,0.0979,1.238
1.9950,-0.7503,-1.0946,0.0640,1.329
2.0050,-0.8066,-1.1120,-0.0834,1.376
2.0320,-0.7063,-1.1142,-0.4192,1.384
2.0330,-0.6026,-1.0642,-0.7703,1.445
2.0350,-0.5158,-0.9252,-1.0594,1.498
2.0690,-0.5625,-0.5253,-1.0756,1.323
2.0700,-0.4789,-0.2254,-1.0131,1.143
2.0710,-0.4197,-0.0188,-0.9336,1.024
2.0740,-0.3053,-0.0353,-0.8588,0.912
2.0850,-0.1904,-0.1011,-0.7124,0.744
2.0950,-0.1701,-0.1266,-0.6820,0.714
2.1040,-0.2604,-0.2079,-0.8054,0.872
2.1290,-0.2904,-0.1597,-0.9445,1.001
2.1300,-0.3190,-0.1206,-1.1352,1.185
2.1340,-0.3473,0.0048,-1.3008,1.346
2.1440,-0.4331,0.1038,-1.3851,1.455
2.1920,-0.5567,0.1433,-1.4106,1.523
2.1940,-0.6612,0.1649,-1.3218,1.487
2.1950,-0.7649,0.1504,-0.9470,1.227
2.1960,-0.7400,0.0425,-0.6511,0.987
2.1970,-0.7576,-0.2352,-0.2999,0.848
2.2040,-0.8347,-0.3416,0.0516,0.903
2.2130,-0.7800,-0.3561,0.4245,0.957
2.2230,-0.6884,-0.2999,0.6287,0.979
2.2400,-0.5782,-0.2661,0.5861,0.865
2.2990,-0.5803,-0.2471,0.2856,0.692
2.3000,-0.5946,0.0294,-0.0131,0.595
2.3010,-0.5476,0.3274,-0.2423,0.682
2.3020,-0.5014,0.5095,-0.3751,0.807
2.3030,-0.5336,0.6170,-0.3179,0.875
2.3040,-0.3613,0.5192,-0.0928,0.639
2.3050,-0.2354,0.2766,0.2212,0.425
2.3130,-0.0415,0.1150,0.2627,0.290
2.3220,-0.0255,0.2589,0.4000,0.477
2.3380,-0.1444,0.4737,0.3113,0.585
2.3780,-0.1280,0.6073,0.2069,0.654
2.3790,0.0046,0.6109,0.3489,0.704
2.3810,0.0992,0.5818,0.6021,0.843
2.3820,0.2704,0.5867,0.9024,1.110
2.3830,0.3465,0.4388,1.1701,1.297
2.3910,0.6341,-0.1080,1.4610,1.596
2.4020,0.9058,-0.6948,1.5111,1.894
2.4110,1.0083,-1.1757,1.4024,2.089
2.4220,1.1269,-1.4302,1.2201,2.192
2.4440,1.0888,-1.5061,1.0081,2.114
2.4460,0.9521,-1.3856,0.8246,1.873
2.4510,0.8146,-1.2794,0.5738,1.622
2.5000,0.6978,-1.1981,0.2885,1.416
2.5010,0.5847,-1.1998,0.1610,1.344
2.5030,0.4967,-1.2981,0.0346,1.390
2.5040,0.4518,-1.3914,0.0782,1.465
2.5050,0.5997,-1.5531,0.0978,1.668
2.5130,0.7839,-1.7287,0.1334,1.903
2.5200,0.8311,-1.7687,0.1106,1.957
2.5300,0.8577,-1.7179,0.0715,1.921
2.5520,0.8062,-1.5387,-0.0024,1.737
2.5540,0.7220,-1.3143,-0.1644,1.508
2.5970,0.7553,-1.1402,-0.5106,1.460
2.5990,0.8113,-0.8221,-0.8511,1.435
2.6000,0.7363,-0.5082,-1.1697,1.473
2.6010,0.6761,-0.4924,-1.3979,1.629
2.6020,0.5989,-0.5510,-1.5313,1.734
2.6090,0.5723,-0.6634,-1.3228,1.587
2.6190,0.5307,-0.5659,-0.9811,1.251
2.6360,0.4206,-0.3967,-0.6758,0.889
2.6500,0.2913,-0.3638,-0.4264,0.632
2.6510,0.2787,-0.3744,-0.3653,0.593
2.6860,0.2555,-0.3301,-0.4551,0.618
2.6880,0.1632,-0.2474,-0.7550,0.811
2.6890,0.0578,-0.1819,-1.0365,1.054
2.6910,0.1265,-0.2497,-1.1650,1.198
2.6980,0.2139,-0.2428,-1.0625,1.111
2.7080,0.1455,-0.2770,-0.8819,0.936
2.7180,0.1504,-0.0810,-0.6059,0.630
2.7280,0.0387,-0.0757,-0.4263,0.435
2.7470,0.0628,-0.1825,-0.5738,0.605
2.7480,0.0205,-0.2538,-0.7381,0.781
2.7970,0.0798,-0.2982,-1.0790,1.122
2.7980,-0.0409,-0.1221,-1.2794,1.286
2.7990,-0.1178,-0.0088,-1.4378,1.443
2.8000,-0.1375,0.1984,-1.3843,1.405
2.8010,-0.0469,0.2301,-1.3673,1.387
2.8070,0.0141,0.3072,-1.2022,1.241
2.8190,0.0169,0.2863,-1.0931,1.130
2.8270,0.0960,0.2850,-0.9842,1.029
2.8590,0.1182,0.1702,-0.8762,0.900
2.8660,0.1775,0.1702,-0.7872,0.825
2.8670,0.2348,0.2820,-0.6963,0.787
2.8680,0.2344,0.4274,-0.6215,0.790
2.8960,0.1229,0.5107,-0.7539,0.919
2.8970,0.0742,0.6304,-0.9036,1.104
2.8980,0.0884,0.5996,-0.9971,1.167
2.9060,-0.0280,0.6671,-1.0342,1.231
2.9180,-0.0151,0.7756,-1.0910,1.339
2.9250,-0.0256,0.8983,-0.8335,1.226
2.9360,-0.0066,0.7945,-0.5200,0.950
2.9450,-0.0075,0.6372,-0.2858,0.698
2.9770,-0.0423,0.5596,-0.2064,0.598
2.9780,0.0205,0.4671,-0.2829,0.546
2.9790,0.1195,0.3588,-0.2851,0.474
3.0060,0.2181,0.3853,-0.2305,0.499
3.0070,0.0497,0.4654,-0.2687,0.540
3.0080,0.0172,0.7328,-0.4187,0.844
3.0170,-0.1091,0.8992,-0.4692,1.020
3.0250,-0.1579,0.9685,-0.4419,1.076
3.0350,-0.3810,1.0015,-0.2437,1.099
3.0450,-0.4742,0.7140,0.0272,0.858
3.0600,-0.3281,0.1105,0.5203,0.625
3.1000,-0.2010,-0.4932,0.9024,1.048
3.1000,-0.1130,-1.2181,1.1740,1.696
3.1010,-0.2230,-1.7972,1.1305,2.135
3.1020,-0.4058,-2.1289,0.7633,2.298
3.1040,-0.6902,-2.2410,0.1746,2.351
3.1160,-0.9041,-2.1373,-0.4417,2.362
3.1230,-1.0863,-1.7959,-0.9340,2.297
3.1340,-1.1108,-1.4200,-1.1934,2.162
3.1490,-1.0074,-1.0771,-1.2653,1.943
3.1670,-0.8787,-0.8204,-1.0770,1.614
3.1680,-0.7267,-0.7076,-0.8010,1.292
3.1730,-0.5889,-0.8769,-0.4727,1.157
3.2050,-0.2698,-1.0293,-0.2590,1.095
3.2060,-0.1434,-1.2029,-0.1398,1.219
3.2070,-0.0736,-1.3251,-0.1889,1.341
3.2140,-0.0949,-1.1484,-0.5389,1.272
3.2220,-0.0904,-0.9378,-0.8470,1.267
3.2330,-0.1739,-0.7668,-1.0959,1.349
3.2420,-0.1376,-0.7663,-1.2497,1.472
3.2610,-0.1387,-0.6662,-1.3100,1.476
3.2620,-0.1444,-0.6554,-1.0302,1.230
3.2950,-0.2097,-0.5640,-0.7532,0.964
3.2970,-0.2243,-0.6410,-0.5560,0.878
3.2980,-0.1832,-0.9082,-0.5320,1.068
3.3020,-0.2163,-1.0810,-0.4686,1.198
3.3130,-0.2070,-1.1422,-0.4600,1.249
