time,gFx,gFy,gFz,TgF
0.004000,-0.0119,0.3281,0.8356,0.898
0.005000,-0.0073,0.3237,0.8526,0.912
0.005000,-0.0053,0.3249,0.8856,0.943
0.008000,-0.0056,0.3225,0.9557,1.009
0.013000,0.0013,0.3269,1.0468,1.097
0.018000,0.0049,0.3215,1.1002,1.146
0.023000,-0.0063,0.3049,1.1210,1.162
0.029000,-0.0263,0.2807,1.1249,1.160
0.033000,-0.0473,0.2580,1.1195,1.150
0.037000,-0.0688,0.2356,1.1012,1.128
0.046000,-0.0883,0.2422,1.0790,1.109
0.048000,-0.1135,0.2270,1.0526,1.083
0.052000,-0.1450,0.2199,1.0267,1.060
0.057000,-0.1696,0.2131,0.9945,1.031
0.064000,-0.1794,0.2060,0.9579,0.996
0.068000,-0.1772,0.2048,0.9449,0.983
0.071000,-0.1589,0.2065,0.9432,0.979
0.076000,-0.1332,0.2046,0.9383,0.970
0.082000,-0.1015,0.2104,0.9237,0.953
0.087000,-0.0695,0.2151,0.9066,0.934
0.103000,-0.0385,0.2126,0.8898,0.916
0.104000,-0.0297,0.2385,0.8995,0.931
0.105000,-0.0287,0.2683,0.9112,0.950
0.106000,-0.0151,0.2876,0.9154,0.960
0.110000,0.0030,0.3005,0.9298,0.977
0.117000,0.0150,0.3044,0.9632,1.010
0.121000,0.0159,0.2978,0.9943,1.038
0.126000,0.0047,0.2871,1.0057,1.046
0.130000,-0.0114,0.2697,1.0004,1.036
0.136000,-0.0366,0.2541,0.9889,1.022
0.141000,-0.0563,0.2248,0.9811,1.008
0.145000,-0.0717,0.2019,0.9801,1.003
0.150000,-0.0873,0.1923,0.9818,1.004
0.155000,-0.0988,0.1914,0.9830,1.006
0.160000,-0.1074,0.1958,0.9794,1.004
0.164000,-0.1037,0.1992,0.9735,0.999
0.171000,-0.0971,0.1989,0.9740,0.999
0.175000,-0.0869,0.2021,0.9723,0.997
0.179000,-0.0776,0.2102,0.9769,1.002
0.185000,-0.0705,0.2229,0.9818,1.009
0.189000,-0.0690,0.2392,0.9838,1.015
0.195000,-0.0698,0.2549,0.9762,1.011
0.200000,-0.0778,0.2683,0.9716,1.011
0.204000,-0.0793,0.2732,0.9601,1.001
0.210000,-0.0756,0.2768,0.9435,0.986
0.214000,-0.0707,0.2781,0.9271,0.970
0.219000,-0.0612,0.2651,0.9310,0.970
0.224000,-0.0407,0.2480,0.9515,0.984
0.229000,-0.0273,0.2282,0.9757,1.002
0.242000,-0.0285,0.2136,0.9962,1.019
0.243000,-0.0356,0.2021,1.0055,1.026
0.244000,-0.0488,0.1972,1.0089,1.029
0.249000,-0.0617,0.1963,1.0109,1.032
0.254000,-0.0725,0.1938,1.0060,1.027
0.259000,-0.0888,0.1989,1.0038,1.027
0.263000,-0.0991,0.1985,0.9969,1.021
0.267000,-0.1091,0.2011,0.9950,1.021
0.274000,-0.1152,0.1972,0.9996,1.025
0.278000,-0.1108,0.2033,1.0030,1.029
0.283000,-0.1052,0.2050,1.0018,1.028
0.287000,-0.0942,0.2072,0.9904,1.016
0.293000,-0.0834,0.2104,0.9869,1.013
0.298000,-0.0742,0.2170,0.9799,1.006
0.303000,-0.0649,0.2212,0.9759,1.003
0.309000,-0.0541,0.2253,0.9708,0.998
0.313000,-0.0480,0.2290,0.9764,1.004
0.318000,-0.0412,0.2348,0.9987,1.027
0.321000,-0.0363,0.2375,1.0121,1.040
0.326000,-0.0427,0.2356,1.0106,1.039
0.332000,-0.0505,0.2295,1.0043,1.031
0.337000,-0.0663,0.2234,0.9965,1.023
0.342000,-0.0810,0.2158,0.9921,1.018
0.346000,-0.0966,0.2114,0.9872,1.014
0.351000,-0.1049,0.1972,0.9850,1.010
0.356000,-0.1044,0.1838,0.9842,1.007
0.360000,-0.1037,0.1755,0.9864,1.007
0.366000,-0.1018,0.1721,0.9845,1.005
0.371000,-0.0910,0.1765,0.9825,1.002
0.376000,-0.0842,0.1850,0.9774,0.998
