time;gFx;gFy;gFz;TgF
0,004000;0,0164;0,2297;1,2311;1,252
0,004000;0,0150;0,2185;1,2860;1,305
0,007000;0,0269;0,2116;1,3568;1,374
0,011000;0,0494;0,2004;1,3881;1,403
0,017000;0,0421;0,1880;1,3798;1,393
0,026000;0,0274;0,1613;1,3493;1,359
0,027000;0,0079;0,1403;1,3056;1,313
0,032000;-0,0112;0,1201;1,2511;1,257
0,035000;-0,0351;0,1071;1,1969;1,202
0,041000;-0,0493;0,1044;1,1430;1,149
0,046000;-0,0537;0,1113;1,0946;1,102
0,050000;-0,0500;0,1152;1,0516;1,059
0,065000;-0,0451;0,1269;1,0304;1,039
0,068000;-0,0446;0,1540;1,0233;1,036
0,069000;-0,0446;0,1902;1,0121;1,031
0,071000;-0,0385;0,2221;0,9916;1,017
0,075000;-0,0229;0,2490;0,9601;0,992
0,080000;-0,0019;0,2678;0,9247;0,963
0,085000;0,0281;0,2790;0,8922;0,935
0,090000;0,0577;0,2864;0,8673;0,915
0,100000;0,0789;0,2888;0,8490;0,900
0,101000;0,0985;0,2832;0,8380;0,890
0,105000;0,1160;0,2785;0,8504;0,902
0,109000;0,1236;0,2732;0,8690;0,919
0,115000;0,1180;0,2685;0,8924;0,939
0,123000;0,0953;0,2585;0,9156;0,956
0,125000;0,0755;0,2426;0,9293;0,963
0,134000;0,0528;0,2265;0,9457;0,974
0,135000;0,0259;0,2124;0,9598;0,983
0,139000;0,0010;0,2043;0,9601;0,982
0,144000;-0,0165;0,2087;0,9557;0,978
0,149000;-0,0317;0,2173;0,9528;0,978
0,153000;-0,0446;0,2258;0,9513;0,979
0,159000;-0,0551;0,2321;0,9469;0,976
0,166000;-0,0624;0,2436;0,9432;0,976
0,169000;-0,0634;0,2502;0,9432;0,978
0,173000;-0,0539;0,2549;0,9432;0,979
0,181000;-0,0407;0,2531;0,9386;0,973
0,184000;-0,0246;0,2529;0,9178;0,952
0,190000;-0,0104;0,2444;0,8888;0,922
0,192000;0,0006;0,2417;0,8617;0,895
0,202000;0,0059;0,2395;0,8363;0,870
0,202000;0,0089;0,2370;0,8126;0,847
0,211000;0,0037;0,2412;0,7928;0,829
0,213000;-0,0056;0,2385;0,7833;0,819
0,218000;-0,0117;0,2434;0,7914;0,828
0,222000;-0,0119;0,2512;0,8089;0,847
0,228000;-0,0139;0,2580;0,8233;0,863
0,231000;-0,0102;0,2622;0,8356;0,876
0,236000;-0,0080;0,2568;0,8568;0,894
0,241000;-0,0048;0,2490;0,8900;0,924
0,247000;-0,0046;0,2356;0,9213;0,951
0,251000;-0,0082;0,2285;0,9359;0,963
0,256000;-0,0026;0,2177;0,9386;0,964
0,268000;0,0006;0,2119;0,9474;0,971
0,271000;0,0064;0,2102;0,9650;0,988
0,271000;0,0052;0,2129;0,9872;1,010
0,276000;-0,0021;0,2197;1,0006;1,024
0,281000;-0,0041;0,2202;1,0092;1,033
0,294000;-0,0056;0,2177;1,0138;1,037
0,295000;-0,0117;0,2173;1,0094;1,033
0,295000;-0,0197;0,2180;1,0065;1,030
0,301000;-0,0251;0,2212;1,0009;1,025
0,306000;-0,0349;0,2246;0,9974;1,023
0,310000;-0,0392;0,2287;0,9913;1,018
0,315000;-0,0402;0,2324;0,9886;1,016
0,320000;-0,0453;0,2348;0,9847;1,013
0,325000;-0,0541;0,2329;0,9691;0,998
0,330000;-0,0688;0,2295;0,9418;0,972
0,335000;-0,0795;0,2268;0,9073;0,939
0,339000;-0,0788;0,2204;0,8844;0,915
0,345000;-0,0590;0,2146;0,8815;0,909
0,350000;-0,0527;0,2072;0,8793;0,905
0,355000;-0,0600;0,2182;0,8822;0,911
0,370000;-0,0595;0,2133;0,8924;0,920
0,375000;-0,0490;0,1975;0,9068;0,929
0,375000;-0,0444;0,1735;0,9310;0,948
0,376000;-0,0449;0,1511;0,9571;0,970
0,378000;-0,0478;0,1357;0,9864;0,997
0,384000;-0,0402;0,1228;1,0114;1,020
0,398000;-0,0236;0,1096;1,0407;1,047
0,400000;0,0101;0,0952;1,0929;1,097
0,400000;0,0145;0,0871;1,0966;1,100
0,404000;0,0133;0,0844;1,1032;1,106
0,408000;0,0218;0,0835;1,1132;1,117
0,413000;0,0281;0,0854;1,1305;1,134
0,419000;0,0218;0,0922;1,1522;1,156
0,423000;0,0042;0,0976;1,1698;1,174
0,429000;-0,0151;0,1023;1,1779;1,182
0,433000;-0,0295;0,1052;1,1737;1,179
0,438000;-0,0463;0,1064;1,1620;1,168
0,443000;-0,0637;0,0976;1,1464;1,152
0,448000;-0,0878;0,0915;1,1317;1,139
0,453000;-0,1105;0,0837;1,1195;1,128
0,458000;-0,1215;0,0756;1,1093;1,118
0,469000;-0,1284;0,0781;1,0968;1,107
0,470000;-0,1315;0,0791;1,0778;1,089
0,471000;-0,1296;0,0813;1,0624;1,073
0,478000;-0,1269;0,0844;1,0490;1,060
0,483000;-0,1137;0,0864;1,0392;1,049
0,487000;-0,1025;0,0930;1,0258;1,035
0,492000;-0,0922;0,0996;1,0138;1,023
0,496000;-0,0859;0,1154;0,9989;1,009
0,506000;-0,0830;0,1257;0,9835;0,995
0,507000;-0,0766;0,1386;0,9730;0,986
0,512000;-0,0615;0,1504;0,9728;0,986
0,516000;-0,0422;0,1496;0,9703;0,983
0,528000;-0,0258;0,1450;0,9647;0,976
0,528000;-0,0114;0,1337;0,9569;0,966
0,531000;0,0049;0,1176;0,9537;0,961
0,535000;0,0247;0,1057;0,9491;0,955
0,540000;0,0286;0,0935;0,9498;0,955
0,545000;0,0277;0,0859;0,9608;0,965
0,550000;0,0279;0,0871;0,9711;0,975
0,555000;0,0274;0,0891;0,9803;0,985
0,559000;0,0225;0,0949;0,9857;0,991
0,569000;0,0206;0,1040;0,9991;1,005
0,570000;0,0208;0,1142;1,0033;1,010
0,575000;0,0228;0,1230;1,0067;1,014
0,580000;0,0247;0,1364;1,0096;1,019
0,588000;0,0303;0,1460;1,0138;1,025
0,589000;0,0367;0,1504;1,0143;1,026
0,594000;0,0421;0,1528;1,0062;1,019
0,599000;0,0416;0,1486;1,0004;1,012
0,604000;0,0416;0,1450;0,9947;1,006
0,609000;0,0389;0,1411;1,0018;1,012
0,613000;0,0404;0,1425;1,0087;1,019
0,619000;0,0384;0,1389;1,0116;1,022
0,623000;0,0308;0,1369;1,0145;1,024
0,630000;0,0262;0,1352;1,0143;1,024
0,633000;0,0184;0,1345;1,0099;1,019
0,638000;0,0120;0,1337;1,0096;1,019
0,643000;0,0118;0,1308;1,0121;1,021
0,649000;0,0123;0,1308;1,0106;1,019
0,653000;0,0147;0,1306;1,0094;1,018
0,658000;0,0179;0,1340;1,0074;1,016
0,662000;0,0233;0,1391;1,0018;1,012
0,669000;0,0323;0,1455;0,9896;1,001
0,673000;0,0318;0,1482;0,9703;0,982
0,678000;0,0335;0,1499;0,9506;0,963
0,684000;0,0335;0,1508;0,9288;0,942
0,688000;0,0284;0,1569;0,9125;0,926
0,692000;0,0321;0,1679;0,9025;0,919
0,698000;0,0340;0,1735;0,8932;0,911
0,702000;0,0264;0,1870;0,8841;0,904
0,707000;-0,0170;0,2314;0,8707;0,901
0,712000;-0,0163;0,2466;0,8710;0,905
0,716000;-0,0041;0,2224;0,8629;0,891
0,721000;-0,0095;0,2177;0,8590;0,886
0,727000;-0,0056;0,2099;0,8614;0,887
0,733000;0,0054;0,1987;0,8644;0,887
0,737000;0,0106;0,1914;0,8827;0,903
0,741000;0,0096;0,1862;0,9090;0,928
0,747000;0,0057;0,1787;0,9337;0,951
0,751000;-0,0019;0,1748;0,9591;0,975
0,756000;-0,0180;0,1777;0,9860;1,002
0,761000;-0,0424;0,1897;1,0065;1,025
0,769000;-0,0349;0,1819;1,0133;1,030
0,771000;-0,0297;0,1682;1,0089;1,023
0,775000;-0,0295;0,1584;1,0035;1,016
0,780000;-0,0319;0,1479;1,0013;1,013
0,792000;-0,0197;0,1377;1,0013;1,011
0,793000;-0,0065;0,1245;0,9955;1,003
0,796000;0,0020;0,1162;0,9913;0,998
0,801000;0,0128;0,1084;0,9864;0,992
0,805000;0,0264;0,1037;0,9850;0,991
0,810000;0,0421;0,0988;0,9830;0,989
0,814000;0,0552;0,0991;0,9821;0,989
0,819000;0,0614;0,1005;0,9840;0,991
0,824000;0,0592;0,1110;0,9923;1,000
0,829000;0,0511;0,1201;1,0009;1,009
0,834000;0,0399;0,1357;1,0052;1,015
0,839000;0,0264;0,1450;1,0104;1,021
0,844000;0,0101;0,1535;1,0250;1,037
0,848000;-0,0036;0,1635;1,0397;1,052
0,854000;-0,0143;0,1718;1,0595;1,073
0,858000;-0,0190;0,1694;1,0697;1,083
0,866000;-0,0231;0,1655;1,0726;1,086
0,869000;-0,0192;0,1650;1,0746;1,087
0,873000;-0,0241;0,1704;1,0778;1,091
0,880000;-0,0143;0,1623;1,0697;1,082
0,884000;-0,0024;0,1513;1,0516;1,062
0,888000;0,0152;0,1389;1,0267;1,036
0,892000;0,0316;0,1281;1,0079;1,017
0,898000;0,0496;0,1211;0,9901;0,999
0,903000;0,0611;0,1159;0,9747;0,983
0,907000;0,0689;0,1171;0,9654;0,975
0,914000;0,0714;0,1174;0,9713;0,981
0,918000;0,0738;0,1223;0,9842;0,995
0,922000;0,0728;0,1303;0,9925;1,004
0,927000;0,0638;0,1386;0,9965;1,008
0,932000;0,0545;0,1428;0,9916;1,003
0,937000;0,0445;0,1477;0,9845;0,996
0,942000;0,0382;0,1521;0,9764;0,989
0,947000;0,0311;0,1543;0,9667;0,979
0,953000;0,0252;0,1547;0,9569;0,970
0,957000;0,0206;0,1555;0,9474;0,960
0,968000;0,0157;0,1574;0,9508;0,964
0,969000;0,0152;0,1569;0,9552;0,968
0,973000;0,0137;0,1547;0,9613;0,974
0,977000;0,0147;0,1508;0,9725;0,984
0,986000;0,0169;0,1474;0,9891;1,000
0,989000;0,0213;0,1442;1,0084;1,019
0,991000;0,0245;0,1389;1,0289;1,039
0,996000;0,0340;0,1298;1,0416;1,050
1,000000;0,0377;0,1257;1,0485;1,057
1,005000;0,0467;0,1198;1,0497;1,058
1,012000;0,0550;0,1145;1,0394;1,047
1,015000;0,0604;0,1159;1,0272;1,036
1,020000;0,0682;0,1145;1,0077;1,016
1,025000;0,0692;0,1215;0,9952;1,005
1,031000;0,0682;0,1254;0,9769;0,987
1,035000;0,0631;0,1345;0,9654;0,977
1,040000;0,0579;0,1428;0,9613;0,974
1,045000;0,0545;0,1526;0,9537;0,967
1,050000;0,0496;0,1611;0,9547;0,969
1,054000;0,0416;0,1735;0,9632;0,980
