time,gFx,gFy,gFz,aT
0.005000,-0.1569,0.2954,0.7743,0.843
0.005000,-0.1467,0.3039,0.8172,0.884
0.008000,-0.1386,0.3027,0.8649,0.927
0.013000,-0.1281,0.2990,0.9039,0.961
0.017000,-0.1162,0.3000,0.9320,0.986
0.023000,-0.0969,0.2925,0.9464,0.995
0.028000,-0.0849,0.2822,0.9496,0.994
0.032000,-0.0805,0.2690,0.9557,0.996
0.038000,-0.0927,0.2607,0.9645,1.003
0.042000,-0.1144,0.2507,0.9698,1.008
0.048000,-0.1367,0.2378,1.0013,1.038
0.052000,-0.1328,0.2229,1.1022,1.132
0.057000,-0.1264,0.2087,1.1781,1.203
0.062000,-0.1462,0.1860,1.1871,1.210
0.066000,-0.1611,0.1616,1.1832,1.205
0.071000,-0.1525,0.1433,1.1842,1.203
0.076000,-0.1501,0.1311,1.1791,1.196
0.081000,-0.1457,0.1276,1.1466,1.163
0.085000,-0.1398,0.1347,1.0956,1.113
0.090000,-0.1286,0.1464,1.0458,1.064
0.096000,-0.1164,0.1640,1.0052,1.025
0.103000,-0.1088,0.1889,0.9672,0.991
0.106000,-0.1049,0.2177,0.9215,0.953
0.110000,-0.1039,0.2351,0.8678,0.905
0.116000,-0.1044,0.2607,0.8316,0.878
0.120000,-0.1120,0.2893,0.8128,0.870
0.132000,-0.1262,0.3093,0.7948,0.862
0.133000,-0.1306,0.3232,0.7838,0.858
0.135000,-0.1276,0.3227,0.7789,0.853
0.140000,-0.1252,0.3157,0.7828,0.853
0.146000,-0.1237,0.3059,0.7938,0.860
0.150000,-0.1176,0.2868,0.8084,0.866
0.155000,-0.0978,0.2595,0.8304,0.876
0.160000,-0.0683,0.2243,0.8609,0.892
0.165000,-0.0368,0.1836,0.8915,0.911
0.170000,-0.0014,0.1394,0.9562,0.966
0.174000,0.0264,0.1023,1.0370,1.042
0.180000,0.0145,0.0820,1.0778,1.081
0.184000,-0.0048,0.0881,1.1266,1.130
0.189000,-0.0292,0.1142,1.1642,1.170
0.193000,-0.0717,0.1474,1.1776,1.189
0.203000,-0.1225,0.1740,1.1659,1.185
0.209000,-0.1625,0.1875,1.1449,1.171
0.209000,-0.1970,0.1943,1.1119,1.146
0.214000,-0.2177,0.1943,1.0761,1.115
0.220000,-0.2336,0.1950,1.0331,1.077
0.223000,-0.2185,0.1902,1.0011,1.042
0.229000,-0.2004,0.1831,0.9811,1.018
0.234000,-0.1677,0.1755,0.9720,1.002
0.238000,-0.1350,0.1709,0.9635,0.988
0.244000,-0.0996,0.1701,0.9552,0.975
0.249000,-0.0739,0.1684,0.9545,0.972
0.253000,-0.0500,0.1721,0.9545,0.971
0.259000,-0.0300,0.1777,0.9532,0.970
0.263000,-0.0246,0.1804,0.9466,0.964
0.269000,-0.0185,0.1806,0.9442,0.962
0.273000,-0.0141,0.1840,0.9508,0.969
0.277000,-0.0192,0.1799,0.9567,0.974
0.282000,-0.0231,0.1777,0.9635,0.980
0.287000,-0.0305,0.1696,0.9762,0.991
0.292000,-0.0463,0.1621,0.9874,1.002
0.297000,-0.0580,0.1596,0.9906,1.005
0.302000,-0.0624,0.1528,0.9891,1.003
0.306000,-0.0659,0.1540,0.9838,0.998
0.311000,-0.0739,0.1540,0.9821,0.997
0.317000,-0.0820,0.1555,0.9840,1.000
0.326000,-0.0839,0.1567,0.9962,1.012
0.327000,-0.0788,0.1599,1.0138,1.029
0.331000,-0.0878,0.1694,1.0345,1.052
0.336000,-0.0971,0.1823,1.0538,1.074
