"Tipo","Deslocado","Pessoa","Travessia","Distancia","Tempo"
"MRU",FALSE,"P1","T1",10,16.94
"MRU",FALSE,"P1","T1",10,17.31
"MRU",FALSE,"P1","T1",20,32.21
"MRU",FALSE,"P1","T1",20,33.66
"MRU",FALSE,"P1","T1",30,46.67
"MRU",FALSE,"P1","T1",30,48.34
"MRU",FALSE,"P1","T2",10,17.13
"MRU",FALSE,"P1","T2",10,15.14
"MRU",FALSE,"P1","T2",20,26.02
"MRU",FALSE,"P1","T2",20,29.25
"MRU",FALSE,"P1","T2",30,46.12
"MRU",FALSE,"P1","T2",30,42.81
"MRU",FALSE,"P2","T1",10,11.38
"MRU",FALSE,"P2","T1",10,11.21
"MRU",FALSE,"P2","T1",20,22.25
"MRU",FALSE,"P2","T1",20,21.78
"MRU",FALSE,"P2","T1",30,33.72
"MRU",FALSE,"P2","T1",30,33.04
"MRU",FALSE,"P2","T2",10,10.22
"MRU",FALSE,"P2","T2",10,11.42
"MRU",FALSE,"P2","T2",20,21.25
"MRU",FALSE,"P2","T2",20,22.61
"MRU",FALSE,"P2","T2",30,32.04
"MRU",FALSE,"P2","T2",30,33.11
"MRU",FALSE,"P3","T1",10,13.65
"MRU",FALSE,"P3","T1",10,13.49
"MRU",FALSE,"P3","T1",20,26.16
"MRU",FALSE,"P3","T1",20,25.97
"MRU",FALSE,"P3","T1",30,39.28
"MRU",FALSE,"P3","T1",30,38.65
"MRU",FALSE,"P3","T2",10,12.32
"MRU",FALSE,"P3","T2",10,12.16
"MRU",FALSE,"P3","T2",20,24.29
"MRU",FALSE,"P3","T2",20,24.05
"MRU",FALSE,"P3","T2",30,35.95
"MRU",FALSE,"P3","T2",30,35.84
"MRU",TRUE,"P1","T1",5,8.29
"MRU",TRUE,"P1","T1",10,14.95
"MRU",TRUE,"P1","T1",15,24.49
"MRU",TRUE,"P1","T1",20,29.16
"MRU",TRUE,"P1","T1",25,39.57
"MRU",TRUE,"P1","T1",30,43.35
"MRU",TRUE,"P2","T1",5,5.50
"MRU",TRUE,"P2","T1",10,10.78
"MRU",TRUE,"P2","T1",15,16.61
"MRU",TRUE,"P2","T1",20,21.91
"MRU",TRUE,"P2","T1",25,27.80
"MRU",TRUE,"P2","T1",30,33.04
"MRU",TRUE,"P3","T1",5,6.74
"MRU",TRUE,"P3","T1",10,12.39
"MRU",TRUE,"P3","T1",15,18.78
"MRU",TRUE,"P3","T1",20,24.06
"MRU",TRUE,"P3","T1",25,30.20
"MRU",TRUE,"P3","T1",30,35.57
"MRUV",FALSE,"P1","T1",10,31.20
"MRUV",FALSE,"P1","T1",10,30.35
"MRUV",FALSE,"P1","T1",20,50.80
"MRUV",FALSE,"P1","T1",20,49.45
"MRUV",FALSE,"P1","T1",30,66.09
"MRUV",FALSE,"P1","T1",30,63.75
"MRUV",FALSE,"P1","T2",10,21.74
"MRUV",FALSE,"P1","T2",10,22.36
"MRUV",FALSE,"P1","T2",20,37.11
"MRUV",FALSE,"P1","T2",20,34.28
"MRUV",FALSE,"P1","T2",30,49.69
"MRUV",FALSE,"P1","T2",30,48.64
"MRUV",FALSE,"P2","T1",10,15.50
"MRUV",FALSE,"P2","T1",10,16.80
"MRUV",FALSE,"P2","T1",20,28.96
"MRUV",FALSE,"P2","T1",20,30.08
"MRUV",FALSE,"P2","T1",30,40.14
"MRUV",FALSE,"P2","T1",30,40.53
"MRUV",FALSE,"P2","T2",10,15.54
"MRUV",FALSE,"P2","T2",10,15.04
"MRUV",FALSE,"P2","T2",20,29.11
"MRUV",FALSE,"P2","T2",20,33.66
"MRUV",FALSE,"P2","T2",30,40.35
"MRUV",FALSE,"P2","T2",30,43.21
"MRUV",FALSE,"P3","T1",10,12.62
"MRUV",FALSE,"P3","T1",10,12.52
"MRUV",FALSE,"P3","T1",20,24.36
"MRUV",FALSE,"P3","T1",20,24.25
"MRUV",FALSE,"P3","T1",30,35.47
"MRUV",FALSE,"P3","T1",30,35.35
"MRUV",FALSE,"P3","T2",10,13.31
"MRUV",FALSE,"P3","T2",10,13.69
"MRUV",FALSE,"P3","T2",20,25.55
"MRUV",FALSE,"P3","T2",20,25.86
"MRUV",FALSE,"P3","T2",30,36.57
"MRUV",FALSE,"P3","T2",30,36.88
"MRUV",TRUE,"P1","T1",5,7.34
"MRUV",TRUE,"P1","T1",10,16.20
"MRUV",TRUE,"P1","T1",15,20.95
"MRUV",TRUE,"P1","T1",20,29.18
"MRUV",TRUE,"P1","T1",25,31.93
"MRUV",TRUE,"P1","T1",30,39.90
"MRUV",TRUE,"P2","T1",5,7.70
"MRUV",TRUE,"P2","T1",10,14.61
"MRUV",TRUE,"P2","T1",15,20.77
"MRUV",TRUE,"P2","T1",20,26.37
"MRUV",TRUE,"P2","T1",25,31.79
"MRUV",TRUE,"P2","T1",30,37.42
"MRUV",TRUE,"P3","T1",5,7.82
"MRUV",TRUE,"P3","T1",10,16.11
"MRUV",TRUE,"P3","T1",15,22.92
"MRUV",TRUE,"P3","T1",20,28.73
"MRUV",TRUE,"P3","T1",25,35.06
"MRUV",TRUE,"P3","T1",30,39.25
